Geo Point,rd_seg_id,marker_id,bay_id,meter_id,rd_seg_dsc,last_edit
"-37.81954633059306, 144.94480098734576",22801.0,C13600,21981,,Bourke Street between Harbour Esplanade and Enterprize Way,20201208142200.0
"-37.78167071829914, 144.95032276351915",,,16867,,,20201208141627.0
"-37.80368006432606, 144.95439287182606",20950.0,,11849,,Queensberry Street between Capel Street and Howard Street,20201208141059.0
"-37.808860826400014, 144.95836610512782",21634.0,6667S,8649,,Franklin Street between Elizabeth Street and Queen Street,20201208140730.0
"-37.800776923097835, 144.95360747351364",21124.0,,13026,,Wreckyn Street between Flemington Road and Courtney Street,20201208141207.0
"-37.82691772821461, 144.97245824825708",22198.0,,21555,,Birdwood Avenue between Dallas Brooks Drive and Anzac Avenue,20210302110507.0
"-37.78147969763991, 144.95957911696595",22393.0,,5437,,Royal Parade between Ievers Street and Park Street,20201223122248.0
"-37.813491215899326, 144.95811837964635",20011.0,C3118,8587,,Lonsdale Street between Queen Street and William Street,20201208140727.0
"-37.80658952165804, 144.94998592266398",21375.0,,12536,,King Street between Stanley Street and Roden Street,20201208141139.0
"-37.806149976543466, 144.94798002785467",22667.0,,2935,,Hawke Street between Spencer Street and Miller Street,20201223122244.0
"-37.81836939225231, 144.96212273083304",20170.0,985W,22613,,Queen Street between Flinders Street and Flinders Lane,20201221131340.0
"-37.776433648627254, 144.94676862364105",22398.0,,6970,,Park Street between Oak Street and West Coburg Tramway,20201223122251.0
"-37.80919543502911, 144.94593873459462",21469.0,,7886,,Roden Street between Railway Place and Adderley Street,20201223122252.0
"-37.802616436597226, 144.9619792100736",22503.0,,23142,,Bouverie Street between Lincoln Square South and Pelham Street,20210325161444.0
"-37.819827517951495, 144.95122374312697",,13010N,13995,,,20201208141303.0
"-37.80516621751435, 144.95226003112464",20964.0,C6074,19886,,Chetwynd Street between Victoria Street and Queensberry Street,20201208141936.0
"-37.831126771817594, 144.98622457322116",22287.0,20360E,16137,,Walsh Street between Acland Street and Clowes Street,20201223122254.0
"-37.833228610704865, 144.97948294583446",,,4344,,,20201223122246.0
"-37.785194511267946, 144.9540095533289",,,16610,,,20201208141614.0
"-37.82817294152081, 144.98414839861172",,,18475,,,20201208141811.0
"-37.801834776152425, 144.97410222162324",22501.0,,15655,,Nicholson Street between Victoria Street and Carlton Street,20201208141458.0
"-37.82345174613468, 144.94181563286853",22951.0,,24056,,Point Park Crescent between Lorimer Street and South Wharf Drive,20210616094131.0
"-37.81241319277652, 144.95000216784598",21501.0,,18876,,Jeffcott Street between Adderley Street and Spencer Street,20201208141834.0
"-37.82310868404228, 144.94019798080475",30884.0,,19200,,South Wharf Drive,20201208141855.0
"-37.8048547201696, 144.94250669228325",21331.0,,18444,,Stawell Street between Miller Street and Victoria Street,20201208141809.0
"-37.81514497999914, 144.96745451681323",20110.0,1952N,9171,,Collins Street between Russell Street and Swanston Street,20201208140801.0
"-37.79207732373563, 144.94519021262423",22425.0,,13433,,Flemington Road between Melrose Street and Dryburgh Street,20201208141229.0
"-37.81402074019492, 144.9562514794496",20013.0,,22854,,Lonsdale Street between William Street and King Street,20210217105904.0
"-37.84806225196567, 144.9845584146187",22481.0,,6365,,Punt Road between Moubray Street and Commercial Road,20201223122249.0
"-37.800014262944096, 144.95134096175312",21178.0,,18881,,Courtney Street between Villiers Street and Harcourt Street,20201208141834.0
"-37.808770727219816, 144.95833715712135",21634.0,C6698,8657,,Franklin Street between Elizabeth Street and Queen Street,20201208140731.0
"-37.795951976748476, 144.97510376894948",20882.0,,1945,,Nicholson Street between Palmerston Street and Kay Street,20201223122240.0
"-37.792961933036416, 144.91900736464015",21811.0,,3126,,Cakebread Mews between Stockmans Way and Gatehouse Drive,20201223122244.0
"-37.80253514924332, 144.94241107361373",21041.0,,4639,,Munster Terrace between Victoria Street and Queensberry Street,20201223122246.0
"-37.80429131808393, 144.96481490993412",20506.0,,22823,,Cardigan Street between Queensberry Street and Argyle Place South,20210217105904.0
"-37.79421565997244, 144.91652185444912",22845.0,,3759,,Speakmen Street between Stockmans Way and Smithfield Road,20201223122245.0
"-37.79794319548673, 144.96750629431043",20534.0,,11343,,Lygon Street between Faraday Street and Elgin Street,20201208141025.0
"-37.811341873943725, 144.9779498494529",21857.0,11875W,22162,,Lansdowne Street between St Andrews Place and Cathedral Place,20201208142210.0
"-37.794872418352185, 144.95578499791486",22348.0,,4729,,Wimble Street between Morrah Street and Park Drive,20201223122246.0
"-37.81482207808957, 144.9685583739127",20110.0,1924N,9156,,Collins Street between Russell Street and Swanston Street,20201208140800.0
"-37.7770849064957, 144.95149505403896",22397.0,,5617,,Park Street between West Coburg Tramway and Royal Parade,20201223122248.0
"-37.826103609156156, 144.9787808856221",22492.0,,18691,,Alexandra Avenue between Swan Street Bridge and Anderson Street,20201208141824.0
"-37.81185876492092, 144.95981200184087",20042.0,3456NA,15479,,Little Lonsdale Street between Elizabeth Street and Queen Street,20201208141446.0
"-37.793207321357464, 144.95542511592177",22369.0,,3706,,Gatehouse Street between Bayles Street and Park Drive,20201223122245.0
"-37.80500353994909, 144.952289277517",20964.0,C6088,19879,,Chetwynd Street between Victoria Street and Queensberry Street,20201208141935.0
"-37.80947466326083, 144.96807860690754",20036.0,,21010,,Little Lonsdale Street between Exhibition Street and Russell Street,20201208142057.0
"-37.81986281068742, 144.94274566295792",22914.0,13584E,20454,,Cumberland Street between Bourke Street and Victoria Harbour Promenade,20201208142020.0
"-37.81071003851968, 144.9516264742809",21516.0,C8058,10128,,Batman Street between Spencer Street and King Street,20201208140854.0
"-37.82621024429595, 144.92477195693021",22147.0,,6157,,Douglas Street between Turner Street and Cook Street,20201223122249.0
"-37.803294024469565, 144.94845723614313",,,12271,,,20201208141123.0
"-37.811863746574055, 144.98667339364",21866.0,,14455,,Grey Street between Simpson Street and Powlett Street,20201208141345.0
"-37.840079710643685, 144.97721720477347",22474.0,,19455,,St Kilda Road between Slater Street and Armadale Street,20201208141910.0
"-37.80336202993168, 144.96046036034636",20458.0,,10547,,Leicester Street between Queensberry Street and Pelham Street,20201208140924.0
"-37.814965968709195, 144.96806625794483",20110.0,,9162,,Collins Street between Russell Street and Swanston Street,20201208140800.0
"-37.802027714328226, 144.9450846722185",21058.0,,7307,,Little Lothian Street North from Lothian Street,20201223122251.0
"-37.77642997877676, 144.94605178591394",22398.0,,5072,,Park Street between Oak Street and West Coburg Tramway,20201223122247.0
"-37.82524263423333, 144.96303906716943",22051.0,8678E,21172,,Kavanagh Street between Power Street and Balston Street,20201208142108.0
"-37.83086578754494, 144.97613972841353",22198.0,,21572,,Birdwood Avenue between Dallas Brooks Drive and Anzac Avenue,20210302110507.0
"-37.83794762946086, 144.98279299027521",22217.0,,19584,,Toorak Road between Leopold Street and Marne Street,20201208141916.0
"-37.81157750602962, 144.97538010893174",21852.0,11783W,15297,,Parliament Place between St Andrews Place and Gisborne Street,20201208141436.0
"-37.80138393617912, 144.9469621871592",21063.0,,6164,,Baillie Street between Curzon Street and Abbotsford Street,20201223122249.0
"-37.80935504225602, 144.94743084241915",21475.0,,13800,,Stanley Street between Adderley Street and Spencer Street,20201208141251.0
"-37.82883737064894, 144.9708105761098",22103.0,9237S,22625,,Coventry Street between St Kilda Road and Wells Street,20201221131340.0
"-37.801407315695144, 144.9471675486311",21063.0,,5640,,Baillie Street between Curzon Street and Abbotsford Street,20201223122248.0
"-37.8273723394874, 144.90256250621275",22168.0,,2638,,Lorimer Street between West Gate Bridge and Todd Road,20201223122242.0
"-37.82901478115221, 144.96709530035653",22110.0,8240E,17256,,Dodds Street between Miles Street and Coventry Street,20201208141651.0
"-37.825832609106, 144.90425790033177",22168.0,,7391,,Lorimer Street between West Gate Bridge and Todd Road,20201223122251.0
"-37.79568449960113, 144.96545341356583",20823.0,,1222,,Palmerston Place between Cardigan Street and Swanston Street,20201223122240.0
"-37.81891965746899, 144.9484019854923",22802.0,13329W,20480,,Batmans Hill Drive between Bourke Street and Collins Street,20201208142021.0
"-37.777430343671746, 144.95437996164125",22397.0,,6497,,Park Street between West Coburg Tramway and Royal Parade,20201223122249.0
"-37.80316707899785, 144.95066099985982",20990.0,C7734B,12559,,Queensberry Street between Leveson Street and Errol Street,20201208141141.0
"-37.816453085544595, 144.945692741725",22452.0,13296E,23333,HRE42,Harbour Esplanade between Bourke Street and La Trobe Street,20210413090426.0
"-37.801595856427255, 144.96972444183788",20558.0,,23464,,Rathdowne Street between Pelham Street and Grattan Street,20210413163317.0
"-37.804393230565616, 144.9608108615894",20868.0,,10930,,Queensberry Street between Bouverie Street and Leicester Street,20201208140956.0
"-37.81388098417987, 144.95674226797536",20013.0,C3158,22837,,Lonsdale Street between William Street and King Street,20210217105904.0
"-37.79622295766164, 144.95173243150614",22337.0,,13182,,Gatehouse Street between Flemington Road and Story Street,20201208141216.0
"-37.803632600265935, 144.9496158061471",20992.0,10196E,10981,,Errol Street between Victoria Street and Queensberry Street,20201208140959.0
"-37.834587780858655, 144.98331567032963",22242.0,,2886,,Leopold Street between Toorak Road and Domain Road,20201223122244.0
"-37.84178455088433, 144.98460318367188",22752.0,,17337,,Pasley Street between Pasley Street North and Pasley Street South,20201208141656.0
"-37.794349367315405, 144.9166164956858",22845.0,,5153,,Speakmen Street between Stockmans Way and Smithfield Road,20201223122247.0
"-37.82492103698069, 144.9779290329572",22492.0,,18598,,Alexandra Avenue between Swan Street Bridge and Anderson Street,20201208141818.0
"-37.79189030532591, 144.93226517425015",22962.0,,20607,,Barnett Street between Smith Street and Robertson Street,20201208142031.0
"-37.8140381943345, 144.96865297925285",20148.0,,9347,,Russell Street between Collins Street and Little Collins Street,20201208140810.0
"-37.833486392875145, 144.98551480527848",22284.0,20179S,16306,,Acland Street between Anderson Street and Walsh Street,20201223122254.0
"-37.77785200720536, 144.95784856607534",22397.0,,2634,,Park Street between West Coburg Tramway and Royal Parade,20201223122242.0
"-37.81747234648313, 144.97997338578276",21984.0,15077W,15405,,Intersection of Agnes Street and Palmer Street,20201223122253.0
"-37.81822274457593, 144.95499374738324",20433.0,,9703,,Francis Street between King Street and Spencer Street,20201208140829.0
"-37.802458219900444, 144.94507226758154",21032.0,7764N,8458,,Queensberry Street between Abbotsford Street and Lothian Street,20201223122253.0
"-37.8006114792893, 144.9400313498343",21300.0,,5560,,Barwise Street from Laurens Street,20201223122248.0
"-37.83001861410296, 144.98636989096363",22273.0,20411W,16045,,Walsh Street between Clowes Street and Alexandra Avenue,20201223122254.0
"-37.7943845708763, 144.96640217517907",20519.0,,943,,Cardigan Street between Keppel Street and Lytton Street,20201223122239.0
"-37.8086854592416, 144.958631359967",21634.0,C6658,8670,,Franklin Street between Elizabeth Street and Queen Street,20201208140731.0
