GISID,SegID,the_geom,StreetID,StatusID,SegPart,StrType,DTUpdate,PolyArea,SegDescr
2145,22837,"-37.79483593289566, 144.92314620936",2032,2,1,Council Major,20210923,1061,Newman Street between Sambell Street and Frearson Walk
1099,21388,"-37.80770098088755, 144.9526182243972",1038,2,1,Council Major,20210923,4386,Rosslyn Street between Howard Street and King Street
2246,21661,"-37.797854100393494, 144.93377499183384",1459,3,1,Council Minor,20210923,417,Cl0178 from Elizabeth Street
171,30234,"-37.79806655660804, 144.96664563444656",1700,4,1,Private,20210923,74,PL5081
1363,21951,"-37.81676308269973, 144.98899864941657",1169,1,2,Arterial,20210923,3275,Wellington Parade between Hoddle Street and Simpson Street
2643,20950,"-37.80362690914619, 144.95479633150612",1008,2,1,Council Major,20210923,3042,Queensberry Street between Capel Street and Howard Street
699,22496,"-37.80607512592824, 144.95773123949192",1152,1,1,Arterial,20210923,2666,Victoria Street between O'Connell Street and Cobden Street
1097,21386,"-37.80693403097905, 144.95420432153296",0,2,1,Council Major,20210923,922,Intersection of William Street and Rosslyn Street
1823,20558,"-37.802106309680894, 144.9697127311844",1024,2,1,Council Major,20210923,6178,Rathdowne Street between Pelham Street and Grattan Street
4072,23316,"-37.822723163672016, 144.94777949623986",120115,6,4,Lease/Reserve,20210923,123,Jim Stynes Bridge between Harbour Esplanade and North Wharf
3294,20432,"-37.8197649095998, 144.95678115855077",697,3,1,Council Minor,20210923,192,Hay Place from Flinders Lane
1789,20593,"-37.793187210098495, 144.97457881355",925,2,1,Council Major,20210923,297,Intersection of Neill Street and Station Street
637,23156,"-37.789045907416345, 144.93248861722117",119720,3,1,Council Minor,20210923,398,CL0122 from Nottingham Street
3817,23214,"-37.790472781046965, 144.92523599679063",119662,2,1,Council Major,20210923,139,Intersection of Drury Street and Siberia Lane
1383,21923,"-37.81524114084245, 144.9884821372812",14,3,1,Council Minor,20210923,245,Cl1065 from Simpson Street
2530,30638,"-37.82113466950516, 144.92126626678643",3081,9,1,Rail/Tram,20210923,11899,Webb Dock Railway
277,30358,"-37.7947549362769, 144.94737671931284",2929,4,1,Private,20210923,296,Leeming Place
1523,22600,"-37.79326028110329, 144.96489238501985",0,1,1,Arterial,20210923,6061,Intersection of College Crescent and Swanston Street
1202,21342,"-37.80557192891186, 144.94448040110416",899,2,1,Council Major,20210923,1864,Miller Street between Abbotsford Street and Lothian Street
477,23015,"-37.793120169880936, 144.93377782310114",119638,2,1,Council Major,20210923,262,Intersection of Robertson Street and Lambeth Street
1859,22373,"-37.792315546913024, 144.96318305689314",524,1,1,Arterial,20210923,9811,College Crescent between Swanston Street and Princes Park Drive
2555,30671,"-37.82731147516651, 144.9206728126078",117910,4,1,Private,20210923,3756,Gateway Court
3458,20176,"-37.812468289813665, 144.95953981034094",1010,2,1,Council Major,20210923,2981,Queen Street between Lonsdale Street and Little Lonsdale Street
4,30003,"-37.82312073260715, 144.95575000248263",3089,4,1,Private,20210923,942,Spencer Street Bridge
1660,20817,"-37.797401412017805, 144.96976777982735",598,2,1,Council Major,20210923,3081,Elgin Street between Rathdowne Street and Drummond Street
2806,21171,"-37.799117336840695, 144.94880673986188",552,1,1,Arterial,20210923,1567,Curzon Street between Harris Street and Haines Street
2762,21173,"-37.79975411961144, 144.9492015115413",1260,3,1,Council Minor,20210923,178,Isaacs Lane from Harris Street
1877,20873,"-37.80225365039301, 144.9614054037733",975,2,1,Council Major,20210923,3019,Pelham Street between Bouverie Street and Leicester Street
2825,20920,"-37.792205395632685, 144.945688372763",632,1,1,Arterial,20210923,3178,Intersection of Flemington Road and Dryburgh Street
879,22203,"-37.83514060511091, 144.9781018451318",466,2,1,Council Major,20210923,1323,Bromby Street between Domain Street and Adams Street
2770,21181,"-37.798058757064744, 144.95279115303507",632,1,1,Arterial,20210923,915,Intersection of Flemington Road and Harcourt Street
3804,22451,"-37.81272280732618, 144.94305715560765",0,1,1,Arterial,20210923,3724,Intersection of Harbour Esplanade and Docklands Drive
206,30276,"-37.8003249659876, 144.9713526579138",1502,4,1,Private,20210923,77,Pl5030
2910,21165,"-37.79874442342735, 144.9435584665165",685,2,1,Council Major,20210923,1900,Haines Street between Dryburgh Street and MacAulay Road
3197,20246,"-37.8148655574624, 144.97412557124218",1123,3,1,Council Minor,20210923,509,Throssell Lane between Spring Street and Flinders Lane
2378,21802,"-37.7911890243806, 144.9219134643563",1413,3,1,Council Minor,20210923,441,Gilbertson Walk between Colonial Place and Watkins Way
1984,20756,"-37.80122741013733, 144.96563695202607",1561,3,1,Council Minor,20210923,22,Cl1009 from Cardigan Street
2838,21012,"-37.80330797884886, 144.9460739198619",1245,3,1,Council Minor,20210923,469,Elm Place from Elm Street
2027,22426,"-37.78866916733951, 144.94128395340246",632,1,1,Arterial,20210923,9979,Flemington Road between Boundary Road and Racecourse Road
710,22671,"-37.80614554417154, 144.95837247296862",1152,1,1,Arterial,20210923,714,Intersection of Victoria Street and O'Connell Street
484,23079,"-37.79322878395016, 144.93481733831584",119638,2,1,Council Major,20210923,1012,Robertson Street between Thompson Street and Stubbs Street
3624,22181,"-37.824905905780135, 144.95928163807113",1359,1,1,Arterial,20210923,7689,Kings Way between City Road and Whiteman Street
2889,21063,"-37.8014384337884, 144.9470724225433",408,2,1,Council Major,20210923,4013,Baillie Street between Curzon Street and Abbotsford Street
1157,21505,"-37.81336680974986, 144.95072621576907",780,2,1,Council Major,20210923,3113,La Trobe Street between Adderley Street and Spencer Street
3379,20344,"-37.813641434861644, 144.95967769583996",420,3,1,Council Minor,20210923,332,Barry Lane between Lonsdale Street and Little Bourke Street
773,21992,"-37.81809338029351, 144.98010747405766",155,3,1,Council Minor,20210923,86,Cl1589 from Agnes Street
1529,22605,"-37.794118543587494, 144.9582406227804",1041,1,1,Arterial,20210923,4178,Royal Parade between Bayles Street and Degraves Street
4163,22799,"-37.81737321709392, 144.9734413607128",422,1,3,Arterial,20210923,22,Batman Avenue between Batman Avenue Bridge and Melbourne Park Tramway
1144,21485,"-37.81061052392754, 144.9498242713162",1278,3,1,Council Minor,20210923,205,Middleton Place between Spencer Street and Dudley Street
688,30787,"-37.788274076549534, 144.93918312914474",3129,9,1,Rail/Tram,20210923,777,Upfield Railway
4122,30882,"-37.8195747276379, 144.9754313818557",120160,4,3,Private,20210923,1329,Tanderrum Bridge
419,22957,"-37.81308105595878, 144.96354422318242",387,3,1,Council Minor,20210923,10,Angel Lane from Little Bourke Street
1063,22472,"-37.83807289330721, 144.97639146663886",1056,1,1,Arterial,20210923,6117,St Kilda Road between Toorak Road and Slater Street
2747,21138,"-37.79964968132886, 144.95397726710183",707,3,1,Council Minor,20210923,651,High Street between Flemington Road and Vale Street
543,23108,"-37.790850775586804, 144.94109776710303",119625,2,1,Council Major,20210923,6551,Alfred Street between Melrose Street and Boundary Road
3207,20236,"-37.812200122970275, 144.97227265198458",895,3,1,Council Minor,20210923,615,Meyers Place between Bourke Street and Little Collins Street
395,22941,"-37.8193010759569, 144.94950534058222",117946,3,1,Council Minor,20210923,3380,Village Street between Bourke Street and Collins Street
3889,23242,"-37.79290613794991, 144.9410933589885",119783,3,1,Council Minor,20210923,452,Smyth Mews between Buncle Street and Pearl Street
2233,21283,"-37.79697798718079, 144.93346253911076",1907,3,1,Council Minor,20210923,435,Cl0177 from Barrett Street
2432,30492,"-37.81150556426607, 144.95135254191632",739,4,1,Private,20210923,60,Jeffcott Place
38,30062,"-37.810894862254614, 144.92033272862068",980,5,1,Port Roads,20210923,2396,Phillipps Road
2014,22409,"-37.78875984850415, 144.9424609839397",22,3,1,Council Minor,20210923,215,Cl1478 from Southgate Street
3972,23300,"-37.81895987342284, 144.94313919026987",119527,16,1,Road Safety Act,20210923,6403,Victoria Harbour Promenade between Enterprize Way and Cumberland Street
2692,21078,"-37.802226201586606, 144.94901985604636",1005,3,1,Council Minor,20210923,1017,Purcell Street between Curzon Street and Errol Street
1500,22498,"-37.80497530247616, 144.96695771359245",1008,2,1,Council Major,20210923,3065,Queensberry Street between Drummond Street and Lygon Street
3587,22552,"-37.81603666400203, 144.94917343979967",117786,1,1,Arterial,20210923,13661,Wurundjeri Way between La Trobe Street and Bourke Street
1706,20667,"-37.798824507726046, 144.97217863311548",276,3,1,Council Minor,20210923,85,Cl1249 from MacArthur Place South
993,22704,"-37.827961223543774, 144.97137605599497",1056,1,1,Arterial,20210923,6954,St Kilda Road between Anzac Avenue and Coventry Street
3697,22041,"-37.82578723690107, 144.9592562656919",1364,3,1,Council Minor,20210923,523,Haig Lane between Kings Way and Clarke Street
1584,20524,"-37.8042176499355, 144.96633215507669",840,2,1,Council Major,20210923,3725,Lygon Street between Queensberry Street and Argyle Place South
330,30420,"-37.794868955924336, 144.94781100921",406,4,1,Private,20210923,3,Avis Lane
4111,20048,"-37.81367691116228, 144.95376753660366",825,2,2,Council Major,20210923,85,Little Lonsdale Street between King Street and Spencer Street
2405,30456,"-37.809733272552755, 144.9460773201892",2847,4,1,Private,20210923,35,Pl5106
1590,20517,"-37.79700068048697, 144.96606986583876",0,2,1,Council Major,20210923,905,Intersection of Cardigan Street and Elgin Street
426,23151,"-37.82010380520888, 144.9438614125922",117952,3,1,Council Minor,20210923,589,Merchant Street between Bourke Street and Collins Street
3777,22175,"-37.82303408844435, 144.9559862252426",3089,1,1,Arterial,20210923,4030,Spencer Street Bridge between Spencer Street and Clarendon Street
1550,20696,"-37.79835389553618, 144.9680956085998",280,3,1,Council Minor,20210923,45,Cl1060 between Faraday Street and Elgin Street
2648,20955,"-37.80562696223041, 144.95369296756334",0,2,1,Council Major,20210923,951,Intersection of Victoria Street and William Street
3815,22895,"-37.82131348591523, 144.9506376188174",118681,3,1,Council Minor,20210923,472,Brentani Way between Village Street and Georgiana Street
123,30181,"-37.812773534223574, 144.96614883738258",3185,4,1,Private,20210923,658,Target Centre
2860,21034,"-37.802494039842095, 144.94456647486103",0,2,1,Council Major,20210923,605,Intersection of Queensberry Street and Lothian Street
4092,23319,"-37.81994374468596, 144.9401404997308",119527,6,1,Lease/Reserve,20210923,643,Victoria Harbour Promenade between Tom Thumb Lane and Sailmaker Way
2794,22312,"-37.796949041507695, 144.95164909034938",632,1,1,Arterial,20210923,5163,Flemington Road between Murphy Street and Harker Street
3288,20443,"-37.81375860338874, 144.95411623597312",380,3,1,Council Minor,20210923,156,Altson Lane from Little Lonsdale Street
1106,21396,"-37.80705605538722, 144.95543312495968",2023,3,2,Council Minor,20210923,59,Cl0551 between Peel Street and Capel Street
3716,22060,"-37.8218225055064, 144.9642199588153",1386,2,1,Council Major,20210923,1198,Cook Street from Riverside Quay
3927,23268,"-37.80351150796146, 144.94990112344703",118894,6,1,Lease/Reserve,20210923,110,George Johnson Lane between Errol Street and Little Errol Street
1703,20670,"-37.798186570077505, 144.97159285435112",843,2,1,Council Major,20210923,3680,MacArthur Place North between Canning Street and Rathdowne Street
240,30318,"-37.80306399935872, 144.9473116155958",3121,4,1,Private,20210923,82,Pl5323
2468,30559,"-37.792652283277995, 144.9243411629374",3071,4,1,Private,20210923,107,Pl5295
379,22938,"-37.7801895518898, 144.93988386815667",119274,2,1,Council Major,20210923,6341,Galada Avenue between Parkville Avenue and Cade Way
3284,20448,"-37.81344528724624, 144.9533045192433",111,3,1,Council Minor,20210923,56,Cl1320 from Warner Lane
1045,22754,"-37.84377166086464, 144.9853520186711",1004,1,1,Arterial,20210923,61,Intersection of Punt Road and Spring Gardens Street
3616,22772,"-37.816028601984826, 144.9634682917176",2288,3,1,Council Minor,20210923,83,Cl0493 from Equitable Place
3308,20418,"-37.81676041377561, 144.956531625833",1252,3,1,Council Minor,20210923,573,Gallaghers Place between Bourke Street and Little Collins Street
3561,22645,"-37.82828236974928, 144.98741421905484",3080,12,12,Citylink,20210923,81,Monash Freeway between Southern Link Road and Boulton Parade
667,23184,"-37.79219042482147, 144.9269043990208",119661,3,1,Council Minor,20210923,519,Harper Street between McCracken Street and Hopetoun Street
898,22226,"-37.83391140907348, 144.98071720165873",572,2,1,Council Major,20210923,351,Intersection of Domain Road and Millswyn Street
2642,20948,"-37.804440529924385, 144.95583408908809",386,3,1,Council Minor,20210923,160,Anderson Lane from Peel Street
27,30037,"-37.81197825031589, 144.92753214026092",532,5,1,Port Roads,20210923,3321,Coode Road
2809,21209,"-37.797636784758616, 144.94852570229645",3179,3,1,Council Minor,20210923,82,McMichaels Lane from Molesworth Street
3705,22049,"-37.82514113612461, 144.96104631967208",1345,1,1,Arterial,20210923,603,Intersection of City Road and Balston Street
351,21396,"-37.80703322117622, 144.95522238405974",2023,3,1,Council Minor,20210923,57,Cl0551 between Peel Street and Capel Street
837,21570,"-37.8094771076639, 144.9789682459882",117886,3,1,Council Minor,20210923,533,Providence Lane between Albert Street and Lansdowne Street
1980,20760,"-37.79898576254663, 144.96666008464965",620,3,1,Council Minor,20210923,104,Faraday Lane between Dorrit Street and Lygon Street
1163,21511,"-37.81095214644922, 144.95264709164854",182,3,1,Council Minor,20210923,273,Cl1302 from Batman Street
1871,22435,"-37.7862113704302, 144.9592069973518",1041,1,1,Arterial,20210923,18102,Royal Parade between Leonard Street and Walker Street
2663,20970,"-37.80487090976037, 144.95341548447007",914,3,1,Council Minor,20210923,219,Moss Place from Howard Street
1677,20707,"-37.79926314751903, 144.96939675302252",915,3,1,Council Minor,20210923,603,Moton Place between Drummond Street and Rathdowne Street
3394,20326,"-37.812233127794194, 144.96450529272948",475,3,1,Council Minor,20210923,809,Caledonian Lane between Lonsdale Street and Little Bourke Street
2947,21241,"-37.79397448152546, 144.9423605404618",1239,3,1,Council Minor,20210923,185,Druce Lane between Brougham Street and Erskine Street
3540,22633,"-37.81671928621119, 144.98134287006113",0,2,1,Council Major,20210923,250,Intersection of Wellington Parade South and Charles Street
2742,21133,"-37.80068750723262, 144.95308294799446",724,3,1,Council Minor,20210923,371,Hotham Place from Courtney Street
1717,20656,"-37.79684678826957, 144.97252721852536",117729,3,1,Council Minor,20210923,178,Kingsland Place from Palmerston Street
1262,21341,"-37.80516759219767, 144.94507113493205",367,2,1,Council Major,20210923,2151,Abbotsford Street between Miller Street and Victoria Street
1622,20482,"-37.80560871266549, 144.9630770651108",1114,2,1,Council Major,20210923,6089,Swanston Street between Victoria Street and Queensberry Street
4146,23348,"-37.82175798422976, 144.9344122723368",120031,2,1,Council Major,20210923,1243,South Wharf Drive between Straitsman Lane and Vessel Lane
1434,21867,"-37.81157747428907, 144.98867101636452",1073,2,1,Council Major,20210923,3028,Simpson Street between Grey Street and Albert Street
969,22299,"-37.838311652916445, 144.98646513101602",0,1,1,Arterial,20210923,197,Intersection of Punt Road and Toorak Road
2481,30574,"-37.79394773345787, 144.92323860567726",1471,4,1,Private,20210923,68,Pl5006
2446,30508,"-37.808624147237715, 144.9598792501001",2974,4,1,Private,20210923,119,Pl5217
1809,20573,"-37.795087697230024, 144.97213440715856",750,2,1,Council Major,20210923,5427,Kay Street between Canning Street and Rathdowne Street
2597,30718,"-37.8197376298912, 144.93650653082108",936,4,1,Private,20210923,4133,North Wharf Road
686,23209,"-37.79069382276851, 144.94277657312963",890,2,1,Council Major,20210923,2095,Melrose Street between Alfred Street and Flemington Road
1404,21900,"-37.813615102725386, 144.98476217398397",723,3,1,Council Minor,20210923,194,Hotham Place from Hotham Street
2218,23217,"-37.79498837608701, 144.9349367508897",847,2,1,Council Major,20210923,628,Intersection of Macaulay Road and Stubbs Street
469,23011,"-37.79012890968127, 144.93432426195835",119642,2,1,Council Major,20210923,276,Intersection of Parsons Street and Lambeth Street
3772,22119,"-37.828323521627055, 144.96589292860514",0,2,1,Council Major,20210923,607,Intersection of Sturt Street and Miles Street
2497,30594,"-37.81615500242201, 144.980868453551",3189,9,1,Rail/Tram,20210923,7656,Clifton Hill Railway
2837,21011,"-37.80311225486532, 144.94543953003068",367,2,1,Council Major,20210923,2517,Abbotsford Street between Elm Street and Queensberry Street
2583,30699,"-37.79114236531065, 144.94915435984382",3130,9,1,Rail/Tram,20210923,8735,West Coburg Tramway
4160,23378,"-37.82029732668107, 144.93967447724194",526,2,1,Council Major,20210923,1861,Collins Street between Sailmaker Way and North Wharf Road
2918,21212,"-37.79596936001212, 144.94332057490647",478,2,1,Council Major,20210923,6676,Canning Street between Dryburgh Street and Shiel Street
3352,20372,"-37.813481152614145, 144.9607192133079",663,3,1,Council Minor,20210923,325,Goldie Place between Little Bourke Street and Lonsdale Street
22,30029,"-37.81468597944567, 144.9065433396598",3098,8,1,River,20210923,95870,Maribyrnong River
3006,21535,"-37.805171982167465, 144.94148501383728",899,2,1,Council Major,20210923,602,Miller Street between Anderson Street and Laurens Street
2171,22539,"-37.79754844125062, 144.92081534447337",3231,3,1,Council Minor,20210923,1395,Rayner Lane between Wakefield Street and Hobsons Road
982,22244,"-37.83495392491065, 144.98346733071708",1246,3,1,Council Minor,20210923,109,Emmerton Place from Leopold Street
4157,30885,"-37.81094292371222, 144.92814246227147",392,5,1,Port Roads,20210923,5976,Appleton Dock Road
1979,20761,"-37.7989322599847, 144.96684014850888",1527,3,1,Council Minor,20210923,59,Cl1054a from Faraday Lane
1966,20774,"-37.795239907669114, 144.96713105064447",1164,3,1,Council Minor,20210923,617,Waterloo Street between Lygon Street and Cardigan Street
3035,20098,"-37.81523782510735, 144.96361093937142",0,2,1,Council Major,20210923,337,Intersection of Elizabeth Street and Little Collins Street
3805,22835,"-37.81368320836652, 144.9441548026706",117766,2,1,Council Major,20210923,11258,Harbour Esplanade between La Trobe Street and Dudley Street
4036,30851,"-37.82852818845003, 144.9027837249387",120121,4,1,Private,20210923,780,Avro Lincoln Road
3932,23273,"-37.79332791345831, 144.97046666067308",120050,3,1,Council Minor,20210923,1276,Reeves Street between Rathdowne Street and Drummond Street
630,23098,"-37.789548444333676, 144.93590675264818",119628,2,1,Council Major,20210923,2876,Stubbs Street between Racecourse Road and Parsons Street
126,30184,"-37.811360951317006, 144.96666911143586",118879,4,1,Private,20210923,43,PL5370
628,23100,"-37.791551539373444, 144.93552995108445",119628,2,1,Council Major,20210923,620,Stubbs Street between Scarborough Place and Smith Street
42,30070,"-37.80213054342532, 144.93195161970326",3219,9,1,Rail/Tram,20210923,2400,North Dynon Railway
1218,21620,"-37.8074645037925, 144.9628386157902",0,2,1,Council Major,20210923,955,Intersection of Swanston Street and Franklin Street
2517,30620,"-37.81603788170048, 144.98728799142555",3199,4,1,Private,20210923,110,Mena Place
713,22681,"-37.80093429795623, 144.94583073319842",367,2,1,Council Major,20210923,1821,Abbotsford Street between Baillie Street and Arden Street
832,21591,"-37.810411308713334, 144.98354449412045",0,2,1,Council Major,20210923,911,Intersection of Albert Street and Clarendon Street
2020,22415,"-37.78551154153835, 144.94177285097493",870,2,1,Council Major,20210923,4619,Manningham Street between Oak Street and Heathcote Road
2348,21773,"-37.79069581441797, 144.92372429613476",1410,3,1,Council Minor,20210923,184,Darcy Lane from Coopers Lane
314,30399,"-37.803830707968466, 144.95445065623096",2921,4,1,Private,20210923,70,Pl5169
3637,22138,"-37.821869319830824, 144.93176425808701",1370,1,1,Arterial,20210923,4173,Lorimer Street between Graham Street and Ingles Street
1112,21402,"-37.80772109482434, 144.95365762406763",901,2,1,Council Major,20210923,1404,Milton Street between Walsh Street and Rosslyn Street
3739,22084,"-37.82351474444641, 144.96733760889705",0,2,1,Council Major,20210923,1603,Intersection of Sturt Street and Southbank Boulevard
2562,30678,"-37.834543552208835, 144.98003942873115",3111,4,1,Private,20210923,21,Pl5314
3355,20369,"-37.81311797686271, 144.96146041692916",929,3,1,Council Minor,20210923,329,Niagara Lane between Lonsdale Street and Little Bourke Street
238,30316,"-37.79663803861357, 144.94374392556225",3126,4,1,Private,20210923,35,Pl5327
2438,30499,"-37.80641751212989, 144.95554417061425",2981,4,1,Private,20210923,54,Pl5224
3671,22465,"-37.82854759757456, 144.95820553577303",1449,2,1,Council Major,20210923,214,Ballantyne Street between Clarendon Street and City Road
1754,21371,"-37.79557601308631, 144.97360560955326",288,3,1,Council Minor,20210923,58,CL1259 from Canning Street
202,22907,"-37.79767531525901, 144.9682373351594",119685,3,1,Council Minor,20210923,40,Raffa Place from Cochrane Place
104,30154,"-37.81488587569296, 144.9640367410484",3198,4,1,Private,20210923,110,The Hub Arcade
2907,21162,"-37.798941718469706, 144.944320881044",585,2,1,Council Major,20210923,1368,Dryburgh Street between O'Shanassy Street and Haines Street
2585,30702,"-37.782640111456345, 144.94939939737077",3129,9,1,Rail/Tram,20210923,90988,Upfield Railway
2037,22320,"-37.79616319563085, 144.95249540624602",72,3,1,Council Minor,20210923,209,Cl1494 from Story Street
2365,21789,"-37.79452628452678, 144.91934391848028",1439,2,1,Council Major,20210923,7672,The Crescent between Mercantile Parade and Gatehouse Drive
2137,22526,"-37.781558356789404, 144.91555052964492",605,1,1,Arterial,20210923,7421,Epsom Road between Langs Road and Flemington/Showgrounds Railway
3609,22787,"-37.81407307574268, 144.942644012237",117870,3,1,Council Minor,20210923,1031,Aquitania Way between Caravel Lane and Newquay Promenade
3868,23231,"-37.816464173270845, 144.97668232787197",119767,3,1,Council Minor,20210923,275,William Lonsdale Lane between Cliveden Close and Magistrates Walk
721,22683,"-37.79990035033734, 144.9441873768543",585,2,1,Council Major,20210923,114,Dryburgh Street between O'Shanassy Street and MacAulay Road
694,30612,"-37.810535430516, 144.98993559850308",1550,4,1,Private,20210923,33,Pl5059
2153,22577,"-37.79535608295312, 144.91834010578637",1444,2,1,Council Major,20210923,192,Intersection of Bateman Road and Fairbairn Drive
3545,22639,"-37.82305947656138, 144.9887462070305",0,1,1,Arterial,20210923,2428,Intersection of Punt Road and Brunton Avenue
3095,20022,"-37.809959535910444, 144.96258883357578",780,2,1,Council Major,20210923,5994,La Trobe Street between Swanston Street and Elizabeth Street
2238,21303,"-37.79956383786601, 144.93711811805403",395,2,2,Council Major,20210923,1188,Arden Street between Langford Street and Lloyd Street
4045,30860,"-37.82973312732741, 144.9027037111605",120130,4,1,Private,20210923,1915,Nomad Street
1420,21881,"-37.81329960233615, 144.98837400154116",0,2,1,Council Major,20210923,609,Intersection of Simpson Street and Gipps Street
2242,21657,"-37.797064699982755, 144.93422010156337",418,2,1,Council Major,20210923,1268,Barrett Street between Chelmsford Street and Fink Street
3926,22897,"-37.81915475861728, 144.95058131278267",117915,3,1,Council Minor,20210923,793,Mayfield Place between Aurora Lane and Wurundjeri Way
2356,21781,"-37.79322502316655, 144.92141278597913",1296,3,1,Council Minor,20210923,308,Chinnock Lane between Graham Street and Neale Street
1601,20506,"-37.804057489757376, 144.96485026337672",483,2,1,Council Major,20210923,3696,Cardigan Street between Queensberry Street and Argyle Place South
1432,21869,"-37.812365164604095, 144.9903417283073",677,2,1,Council Major,20210923,1898,Grey Street between Hoddle Street and Darling Street
2908,21163,"-37.79969911433888, 144.9435842801753",847,1,1,Arterial,20210923,3756,MacAulay Road between Dryburgh Street and Haines Street
791,21974,"-37.818341025992304, 144.979310035073",0,2,1,Council Major,20210923,105,Intersection of Jolimont Street and Jolimont Lane
1769,20612,"-37.79977762168674, 144.97448495325315",931,1,1,Arterial,20210923,659,Nicholson Street between Murchison Street and Faraday Street
2864,21038,"-37.802328320622145, 144.943027602968",1008,2,1,Council Major,20210923,608,Intersection of Queensberry Street and Stawell Street
3336,20388,"-37.817244932827315, 144.96301317553286",645,3,1,Council Minor,20210923,237,Fulham Place from Flinders Lane
2616,20921,"-37.79653641692788, 144.9510855855323",632,1,1,Arterial,20210923,2889,Intersection of Flemington Road and Gatehouse Street
1059,22469,"-37.83219780328252, 144.97646983400165",1230,2,1,Council Major,20210923,2591,Dallas Brooks Drive between Domain Road and Birdwood Avenue
3547,22641,"-37.82333689438945, 144.9784596065335",422,12,1,Citylink,20210923,1094,Intersection of Olympic Boulevard and Batman Avenue
714,22675,"-37.80158652705199, 144.9483699413299",552,1,1,Arterial,20210923,608,Intersection of Curzon Street and Baillie Street
2118,22645,"-37.82835220327173, 144.9874690060188",3080,12,5,Citylink,20210923,441,Monash Freeway between Southern Link Road and Boulton Parade
3998,30837,"-37.81814839110902, 144.97585219397072",118878,9,3,Rail/Tram,20210923,296,William Barak Bridge
2712,21099,"-37.801630565165844, 144.95243781470992",738,3,1,Council Minor,20210923,306,Jacobys Lane between Arden Street and Byron Street
297,30379,"-37.805343841367474, 144.9578057116057",3041,4,1,Private,20210923,88,Pl5275
1947,20799,"-37.80508282533324, 144.9637352698385",534,3,1,Council Minor,20210923,544,Cornell Place between Swanston Street and Queensberry Place
948,22276,"-37.82988498828502, 144.98713917331358",376,2,1,Council Major,20210923,3856,Alexandra Avenue between Punt Road and Walsh Street
2178,21816,"-37.79397130383516, 144.91805980402611",1443,3,1,Council Minor,20210923,837,Francis Lane between Willis Street and Merino Mews
1339,21651,"-37.808094204670375, 144.94829716905895",1086,1,1,Arterial,20210923,2350,Spencer Street between Stanley Street and Roden Street
325,30411,"-37.80529336398697, 144.95694573091725",2901,4,1,Private,20210923,52,Pl5156
2110,22436,"-37.78859122352002, 144.957165321372",405,2,1,Council Major,20210923,6290,The Avenue between Leonard Street and MacArthur Road
2785,21200,"-37.79778062818649, 144.95104203677752",120,3,1,Council Minor,20210923,119,Cl1637 from Murphy Street
2094,22384,"-37.781641125762235, 144.9585000112432",733,2,1,Council Major,20210923,4927,Ievers Street between Royal Parade and The Avenue
4176,22131,"-37.822485878064484, 144.9352498217137",1370,2,1,Arterial,20210923,104,Lorimer Street between Boundary Street and Ingles Street
2224,21274,"-37.79499908705831, 144.93518003005056",847,2,1,Council Major,20210923,393,Intersection of Macaulay Road and Bent Street
565,22997,"-37.79087369913382, 144.9301190541952",594,2,1,Council Major,20210923,1231,Eastwood Street between Mulgrave Street and Smith Street
2051,22334,"-37.795991150714556, 144.95422379743175",956,2,1,Council Major,20210923,4226,Park Drive between Story Street and Morrah Street
3533,22628,"-37.81687761974034, 144.98998694046801",0,1,1,Arterial,20210923,360,Intersection of Hoddle Street and Wellington Parade
3140,22901,"-37.820651653918574, 144.9486605378614",117957,2,1,Council Major,20210923,978,Intersection of Batmans Hill Drive and Collins Street
2651,20958,"-37.80443775292877, 144.95435377755302",821,3,1,Council Minor,20210923,298,Little Howard Street between Howard Street and Capel Street
1603,20504,"-37.80577394795748, 144.9645540416368",483,2,1,Council Major,20210923,6159,Cardigan Street between Victoria Street and Queensberry Street
463,23057,"-37.79020668216309, 144.93502908562883",119642,2,1,Council Major,20210923,2215,Parsons Street between Lambeth Street and Stubbs Street
222,30292,"-37.793767045553764, 144.97223087978008",1478,4,1,Private,20210923,92,Boom Place
1005,22715,"-37.82928283192002, 144.98466814376584",383,2,1,Council Major,20210923,380,Intersection of Anderson Street and St Leonards Court
1722,20651,"-37.79576164418553, 144.9720123278431",989,2,1,Council Major,20210923,3673,Pitt Street between Canning Street and Rathdowne Street
3480,20154,"-37.81692916278629, 144.9671918135865",1114,2,1,Council Major,20210923,2900,Swanston Street between Flinders Street and Flinders Lane
704,22793,"-37.79764309222509, 144.95274232092547",632,1,1,Arterial,20210923,1015,Intersection of Flemington Road and Park Drive
2406,30457,"-37.80950148484192, 144.94599115370593",2846,4,1,Private,20210923,76,Pl5105
2805,21170,"-37.79944225489008, 144.94875377569673",0,1,1,Arterial,20210923,634,Intersection of Curzon Street and Harris Street
2634,20940,"-37.80419121870238, 144.956917925058",1276,3,1,Council Minor,20210923,221,Meeks Lane from Peel Street
874,22198,"-37.82917374255094, 144.9741658479376",445,2,1,Council Major,20210923,7603,Birdwood Avenue between Dallas Brooks Drive and Anzac Avenue
1175,21523,"-37.8104796724507, 144.95863664353485",1010,2,1,Council Major,20210923,3112,Queen Street between La Trobe Street and A'Beckett Street
2574,30690,"-37.8365975568583, 144.9853259892471",3119,4,1,Private,20210923,93,Pl5321
