GISID,SegID,the_geom,StreetID,StatusID,SegPart,StrType,DTUpdate,PolyArea,SegDescr
3234,20197,"-37.81430646333842, 144.97439682088563",1088,2,1,Council Major,20210923,390,Intersection of Flinders Lane and Spring Street
2234,21284,"-37.79643256996773, 144.93253490286386",504,2,1,Council Major,20210923,341,Intersection of Chelmsford Street and Elizabeth Street
2798,21003,"-37.80311809950189, 144.94854235455531",1264,3,1,Council Minor,20210923,35,Kings Arms Lane from Queensberry Street
318,30403,"-37.800962566072776, 144.9522302671109",2918,4,1,Private,20210923,28,Pl5166
4040,30855,"-37.82715069429223, 144.90470251084324",120125,4,1,Private,20210923,1459,Beaufort Place
4015,22457,"-37.82813239006489, 144.9621708450128",1359,1,2,Arterial,20210923,82,Kings Way between Kavanagh Street and Miles Street
1849,21605,"-37.80689636335827, 144.96511563806774",1152,1,1,Arterial,20210923,3084,Victoria Street between Lygon Street and Cardigan Street
336,30432,"-37.801459598431535, 144.95081735886262",117900,4,1,Private,20210923,51,Pl5366
726,22688,"-37.7992213657956, 144.95448312994515",632,1,1,Arterial,20210923,5873,Flemington Road between Wreckyn Street and Villiers Street
1977,20763,"-37.80030686352926, 144.9664351140497",672,3,1,Council Minor,20210923,93,Grattan Lane between Dorrit Street and Lygon Lane
685,23208,"-37.79101926642569, 144.9424793314196",890,2,1,Council Major,20210923,769,Intersection of Melrose Street and Alfred Street
1714,20659,"-37.79669614759479, 144.9712798366734",1294,3,1,Council Minor,20210923,113,Willow Lane from Palmerston Street
1191,22657,"-37.80898799352277, 144.95547599691386",973,2,1,Council Major,20210923,2312,Peel Street between Franklin Street and Dudley Street
2533,30642,"-37.82287504488543, 144.91826393414613",1404,4,1,Private,20210923,4723,Bayside Avenue
2474,30566,"-37.79271699143862, 144.9254937729822",1524,4,1,Private,20210923,144,Pl5045
2326,21751,"-37.793793425908916, 144.92738618390985",605,2,1,Council Major,20210923,1352,Epsom Road between Kensington Road and The Ridgeway
1741,20631,"-37.79503839871901, 144.97381763938728",313,3,1,Council Minor,20210923,63,Cl1265 from Kay Street
2154,22578,"-37.795884368940044, 144.91972029943534",0,2,1,Council Major,20210923,238,Intersection of Tankard Street and Newman Street
2433,30494,"-37.80758504898995, 144.9540181233694",2892,4,1,Private,20210923,24,Pl5148
2050,22333,"-37.79542159771399, 144.9534388541695",70,3,1,Council Minor,20210923,532,Cl1481 from Story Street
752,22845,"-37.79420208288176, 144.916079847574",1435,2,1,Council Major,20210923,2725,Speakmen Street between Stockmans Way and Smithfield Road
1384,21922,"-37.8149238017042, 144.98870653765536",79,3,1,Council Minor,20210923,303,Cl1039 from Hotham Street
144,30205,"-37.79871562036349, 144.96147937195136",1181,4,1,Private,20210923,1716,Wilson Avenue
3899,23245,"-37.82075890165857, 144.9456708849887",120029,3,1,Council Minor,20210923,971,Keera Way between Navigation Drive and Karlsruhe Lane
3036,20097,"-37.81486854671154, 144.96486738968142",812,2,1,Council Major,20210923,2190,Little Collins Street between Swanston Street and Elizabeth Street
1449,21579,"-37.81011935848476, 144.98784864988752",3250,3,1,Council Minor,20210923,203,Green Place from Victoria Parade
2609,22644,"-37.82446494965838, 144.97920433078244",117764,12,1,Citylink,20210923,13,Southern Link Road between Westgate Freeway and Punt Road
1469,22910,"-37.819359875271445, 144.96422471378838",119219,6,1,Lease/Reserve,20210923,2715,Northbank between Banana Alley and Southbank Pedestrian Bridge
2023,22418,"-37.78626585327359, 144.9415052057394",73,3,1,Council Minor,20210923,742,Yates Lane between Manningham Street and Heathcote Road
3922,30831,"-37.79921089853001, 144.95235071802384",119,4,1,Private,20210923,23,CL1646
3662,22805,"-37.82334932344619, 144.9480580196522",3088,1,2,Arterial,20210923,6070,Charles Grimes Bridge between Wurundjeri Way and Montague Street
3218,20226,"-37.810343875306074, 144.970825880685",1003,3,1,Council Minor,20210923,399,Punch Lane from Little Bourke Street
3309,20417,"-37.81675781808084, 144.95677846750652",2566,3,1,Council Minor,20210923,172,Ph8012 from Gallaghers Place
354,22873,"-37.824917760486024, 144.96424497571437",1346,1,2,Arterial,20210923,1165,Power Street between Kavanagh Street and Southern Link Road
2331,21756,"-37.793448412961986, 144.9263856527941",1463,3,1,Council Minor,20210923,213,Cl0534 from The Ridgeway
64,30102,"-37.81593137617768, 144.9602390582717",3019,4,1,Private,20210923,175,Normanby Lane
137,30198,"-37.81581591905399, 144.96753277997502",117862,4,1,Private,20210923,1156,Regent Place
1298,21453,"-37.80715170998618, 144.94414628781215",0,2,1,Council Major,20210923,611,Intersection of Abbotsford Street and Ireland Street
2428,30485,"-37.807434406334465, 144.9679434921241",3002,4,1,Private,20210923,59,Pl5242
2528,30634,"-37.82924230778275, 144.9076066476961",3081,9,1,Rail/Tram,20210923,20368,Webb Dock Railway
1039,22749,"-37.83885772393762, 144.98635669032376",1004,1,1,Arterial,20210923,1019,Punt Road between Park Place and Toorak Road
3967,23298,"-37.81429704562445, 144.94423194195986",117766,16,1,Road Safety Act,20210923,733,Harbour Esplanade between La Trobe Street and Newquay Promenade
1183,22649,"-37.80881402036901, 144.96345846685364",1114,2,1,Council Major,20210923,1381,Swanston Street between Little La Trobe Street and A'Beckett Street
365,22878,"-37.82543033730221, 144.9692517802901",1351,2,1,Council Major,20210923,730,Intersection of Grant Street and Wells Street
237,30315,"-37.80019727685152, 144.9462496355131",3131,4,1,Private,20210923,95,Pl5329
