st_marker_id,lon,lat
A0,-73.8759536743164,40.76993942260742
A1,-73.99118041992188,40.74494934082031
A2,-73.91065216064453,40.75320053100586
A3,-73.97720336914062,40.75192260742188
A4,-73.96723937988281,40.75914001464844
A5,-73.99900817871094,40.72235107421875
A6,-73.9660873413086,40.71210861206056
A7,-73.98561096191406,40.76784896850586
A8,-73.98185729980467,40.76882553100586
A9,-74.00839233398438,40.73404312133789
A10,-74.00142669677734,40.731971740722656
A11,-74.00303649902342,40.73360443115234
A12,-73.96769714355469,40.76700973510742
A13,-73.78177642822266,40.64473342895508
A14,-73.87076568603516,40.77376174926758
A15,-73.97772216796875,40.76442337036133
A16,-74.00079345703125,40.72750854492188
A17,-74.00335693359375,40.733108520507805
A18,-74.0098114013672,40.73830032348633
A19,-74.00679779052734,40.74414825439453
A20,-73.9929962158203,40.72795104980469
A21,-73.97978210449217,40.75276947021485
A22,-73.9889144897461,40.73640060424805
A23,-73.90196228027342,40.74097442626953
A24,-73.98735809326173,40.73604202270508
A25,-73.98466491699219,40.7574577331543
A26,-73.92676544189453,40.701290130615234
A27,-73.98959350585938,40.74153137207031
A28,-73.97978210449217,40.77607345581056
A29,-74.00019073486328,40.732864379882805
A30,-73.95800018310547,40.71048355102539
A31,-73.99003601074217,40.7187385559082
A32,-73.98604583740233,40.722450256347656
A33,-73.99568176269531,40.73913192749024
A34,-73.99126434326173,40.74486541748047
A35,-73.97977447509764,40.75905990600586
A36,-74.00322723388672,40.72729110717773
A37,-73.9871826171875,40.72052383422852
A38,-73.94568634033203,40.77790451049805
A39,-73.7904052734375,40.64376449584961
A40,-73.98118591308595,40.72899627685546
A41,-74.00259399414062,40.7338752746582
A42,-74.00769805908203,40.74043655395508
A43,-73.98916625976561,40.71648025512695
A44,-73.9900665283203,40.756649017333984
A45,-73.99565887451173,40.74406051635742
A46,-73.98348999023438,40.76288604736328
A47,-73.77679443359375,40.64537048339844
A48,-73.98918151855469,40.71646881103516
A49,-73.97836303710938,40.77314376831056
A50,-73.87306976318358,40.77410125732422
A51,-74.01335906982422,40.715126037597656
A52,-73.98651885986328,40.734256744384766
A53,-73.93997192382812,40.83023834228516
A54,-73.96437835693358,40.76041030883789
A55,-73.98605346679686,40.76269912719727
A56,-73.96824645996092,40.755401611328125
A57,-73.97388458251953,40.75075912475586
A58,-73.9813232421875,40.74372863769531
A59,-74.00637054443358,40.73344039916992
A60,-73.97647857666014,40.78575134277344
A61,-73.99896240234375,40.71644973754882
A62,-74.00940704345702,40.710548400878906
A63,-73.9865951538086,40.77184677124024
A64,-73.99283599853516,40.737300872802734
A65,-73.98419952392578,40.7458381652832
A66,-73.98967742919923,40.7568359375
A67,-73.98352813720702,40.744361877441406
A68,-73.78174591064453,40.64477157592773
A69,-73.99929809570312,40.72819900512695
A70,-73.98915100097656,40.758113861083984
A71,-73.99014282226561,40.761531829833984
A72,-73.91792297363281,40.815311431884766
A73,-73.96797943115233,40.75678634643555
A74,-73.98949432373048,40.720516204833984
